ele,time,extensions/speed,extensions/course,extensions/hAcc,extensions/vAcc,_lon,_lat
50.890062,2024-07-29T22:04:47Z,2.924972,32.104813,1.560661,0.828397,-73.616662,45.556153
50.796173,2024-07-29T22:04:48Z,2.909204,32.818994,1.560936,0.828379,-73.616642,45.556175
50.698916,2024-07-29T22:04:49Z,2.919847,30.107281,1.562616,0.828340,-73.616623,45.556197
50.613747,2024-07-29T22:04:50Z,2.886200,29.389428,1.564560,0.828278,-73.616605,45.556220
50.531357,2024-07-29T22:04:51Z,2.745992,30.534773,1.568664,0.828194,-73.616587,45.556242
50.453420,2024-07-29T22:04:52Z,2.689946,30.480070,1.573272,0.828085,-73.616570,45.556263
50.380105,2024-07-29T22:04:53Z,2.466383,31.594728,1.583214,0.827946,-73.616553,45.556283
50.310919,2024-07-29T22:04:54Z,2.314815,33.729441,1.597082,0.827777,-73.616536,45.556301
50.242982,2024-07-29T22:04:55Z,1.945686,31.952111,1.619535,0.827568,-73.616521,45.556317
50.180895,2024-07-29T22:04:56Z,1.442858,29.671106,1.645141,0.827324,-73.616510,45.556330
50.121471,2024-07-29T22:04:57Z,0.760757,18.332981,1.654211,0.827042,-73.616504,45.556339
50.069544,2024-07-29T22:04:58Z,0.172550,287.185665,1.642326,0.826732,-73.616504,45.556342
50.023433,2024-07-29T22:04:59Z,0.373611,233.245867,1.654242,0.826409,-73.616507,45.556341
49.982779,2024-07-29T22:05:00Z,0.407231,221.891614,1.696665,0.826091,-73.616510,45.556339
49.947081,2024-07-29T22:05:01Z,0.346389,216.490269,1.720368,0.825788,-73.616513,45.556336
49.915817,2024-07-29T22:05:02Z,0.274922,212.022267,1.726796,0.825511,-73.616516,45.556334
49.888526,2024-07-29T22:05:03Z,0.209005,207.801399,1.726227,0.825264,-73.616517,45.556332
49.864815,2024-07-29T22:05:04Z,0.174111,206.496794,1.706225,0.825052,-73.616518,45.556331
49.844378,2024-07-29T22:05:05Z,0.149822,208.285959,1.696693,0.824872,-73.616519,45.556329
49.826971,2024-07-29T22:05:06Z,0.141564,209.122731,1.700116,0.824725,-73.616520,45.556328
49.808210,2024-07-29T22:05:07Z,0.114668,210.469701,1.707656,0.824607,-73.616521,45.556327
49.803047,2024-07-29T22:05:08Z,0.091722,210.439448,1.726489,0.824515,-73.616522,45.556326
49.812168,2024-07-29T22:05:09Z,0.075287,209.860597,1.727044,0.824439,-73.616522,45.556326
49.823090,2024-07-29T22:05:10Z,0.068069,207.138077,1.711846,0.824381,-73.616523,45.556325
49.843042,2024-07-29T22:05:11Z,0.054913,198.927198,1.710638,0.824344,-73.616523,45.556324
49.855452,2024-07-29T22:05:12Z,0.042684,174.986456,1.718345,0.824324,-73.616523,45.556324
49.877251,2024-07-29T22:05:13Z,0.048549,126.523633,1.725661,0.824325,-73.616523,45.556324
49.915097,2024-07-29T22:05:14Z,0.103344,89.240321,1.728787,0.824381,-73.616522,45.556324
49.916448,2024-07-29T22:05:15Z,0.237925,72.333688,1.724977,0.824459,-73.616520,45.556324
49.945128,2024-07-29T22:05:16Z,0.516821,63.557538,1.710487,0.824553,-73.616515,45.556325
49.944883,2024-07-29T22:05:17Z,1.071074,58.116477,1.690841,0.824663,-73.616506,45.556329
49.971315,2024-07-29T22:05:18Z,1.845242,56.086162,1.695503,0.824787,-73.616491,45.556336
49.989614,2024-07-29T22:05:19Z,2.622107,56.437029,1.694200,0.824921,-73.616467,45.556347
50.029871,2024-07-29T22:05:20Z,3.271624,56.246734,1.679323,0.824705,-73.616435,45.556362
50.074007,2024-07-29T22:05:21Z,3.420416,57.094689,1.664623,0.824439,-73.616400,45.556378
50.133293,2024-07-29T22:05:22Z,3.241256,60.050974,1.653446,0.824101,-73.616363,45.556393
50.193357,2024-07-29T22:05:23Z,2.840711,62.443147,1.646674,0.823671,-73.616329,45.556406
50.273169,2024-07-29T22:05:24Z,2.708516,63.260234,1.642087,0.823129,-73.616297,45.556418
50.363907,2024-07-29T22:05:25Z,2.641134,65.712221,1.635534,0.822458,-73.616266,45.556428
50.455144,2024-07-29T22:05:26Z,2.590685,67.612946,1.627259,0.821600,-73.616236,45.556437
50.552211,2024-07-29T22:05:27Z,2.649218,71.474342,1.617271,0.820498,-73.616204,45.556445
50.636692,2024-07-29T22:05:28Z,2.725016,79.226095,1.608535,0.819131,-73.616171,45.556451
50.724013,2024-07-29T22:05:29Z,2.820208,87.383967,1.604481,0.817393,-73.616136,45.556454
50.785797,2024-07-29T22:05:30Z,2.779323,96.548956,1.602328,0.815943,-73.616107,45.556454
50.868596,2024-07-29T22:05:31Z,2.844903,110.394135,1.603791,0.817021,-73.616073,45.556449
50.927780,2024-07-29T22:05:32Z,2.845234,117.122284,1.607335,0.817720,-73.616039,45.556438
51.001446,2024-07-29T22:05:33Z,2.619698,118.092337,1.613938,0.818162,-73.616008,45.556427
51.062342,2024-07-29T22:05:34Z,2.465088,118.394113,1.620831,0.818433,-73.615980,45.556416
51.118993,2024-07-29T22:05:35Z,2.174529,114.225982,1.622128,0.818613,-73.615953,45.556407
51.153848,2024-07-29T22:05:36Z,1.969859,103.840849,1.609843,0.818727,-73.615928,45.556401
51.179561,2024-07-29T22:05:37Z,2.034557,85.272002,1.604975,0.818838,-73.615903,45.556400
51.174533,2024-07-29T22:05:38Z,2.333152,67.134432,1.615819,0.818946,-73.615876,45.556405
51.158526,2024-07-29T22:05:39Z,2.763118,51.496187,1.618420,0.819067,-73.615848,45.556417
51.122924,2024-07-29T22:05:40Z,2.874816,46.543497,1.615545,0.819205,-73.615821,45.556434
51.086733,2024-07-29T22:05:41Z,2.860690,54.311598,1.610484,0.819362,-73.615793,45.556451
51.049118,2024-07-29T22:05:42Z,2.712666,67.599764,1.604605,0.819542,-73.615762,45.556463
51.015898,2024-07-29T22:05:43Z,2.690810,79.869423,1.602541,0.819794,-73.615729,45.556470
50.978501,2024-07-29T22:05:44Z,2.633646,86.528150,1.600082,0.820099,-73.615695,45.556473
50.931537,2024-07-29T22:05:45Z,2.611039,80.357196,1.601499,0.820450,-73.615662,45.556476
50.902628,2024-07-29T22:05:46Z,2.840581,69.002554,1.599456,0.820851,-73.615629,45.556482
50.869180,2024-07-29T22:05:47Z,3.030069,59.547470,1.597455,0.821292,-73.615595,45.556494
50.845504,2024-07-29T22:05:48Z,3.178833,53.108713,1.593841,0.821760,-73.615562,45.556509
50.836512,2024-07-29T22:05:49Z,3.047363,48.624947,1.589828,0.822240,-73.615531,45.556527
50.852404,2024-07-29T22:05:50Z,2.868572,46.688611,1.584117,0.822718,-73.615503,45.556545
50.859242,2024-07-29T22:05:51Z,2.725506,46.681981,1.579558,0.823178,-73.615477,45.556562
50.870181,2024-07-29T22:05:52Z,2.696216,41.369897,1.578597,0.823611,-73.615453,45.556580
50.858514,2024-07-29T22:05:53Z,2.831505,38.783374,1.575809,0.824005,-73.615430,45.556599
50.867313,2024-07-29T22:05:54Z,2.839255,39.263761,1.574127,0.824352,-73.615407,45.556619
50.861750,2024-07-29T22:05:55Z,2.887496,43.454623,1.571471,0.824639,-73.615383,45.556638
50.877696,2024-07-29T22:05:56Z,2.827614,44.141816,1.570920,0.824867,-73.615357,45.556657
50.887010,2024-07-29T22:05:57Z,2.853699,43.135883,1.571105,0.825035,-73.615332,45.556675
50.893233,2024-07-29T22:05:58Z,2.878477,41.548650,1.573837,0.825144,-73.615307,45.556694
50.882901,2024-07-29T22:05:59Z,2.968205,42.601754,1.575786,0.825204,-73.615282,45.556714
50.864774,2024-07-29T22:06:00Z,2.994543,45.261320,1.575064,0.825228,-73.615255,45.556733
50.836802,2024-07-29T22:06:01Z,3.023226,48.066461,1.574222,0.825219,-73.615227,45.556752
50.809053,2024-07-29T22:06:02Z,3.082989,47.385733,1.575363,0.825188,-73.615198,45.556770
50.782644,2024-07-29T22:06:03Z,3.076154,45.732791,1.577873,0.825132,-73.615169,45.556790
50.747124,2024-07-29T22:06:04Z,3.140493,44.976094,1.582370,0.825058,-73.615141,45.556809
50.720026,2024-07-29T22:06:05Z,3.142962,43.836935,1.584623,0.824959,-73.615112,45.556829
50.686901,2024-07-29T22:06:06Z,3.186097,47.655821,1.582542,0.824848,-73.615083,45.556849
50.660231,2024-07-29T22:06:07Z,3.138575,53.727678,1.582330,0.824731,-73.615052,45.556867
50.636834,2024-07-29T22:06:08Z,3.210098,57.059673,1.580149,0.824634,-73.615019,45.556883
50.622495,2024-07-29T22:06:09Z,3.110769,55.527685,1.582086,0.824550,-73.614985,45.556899
50.609279,2024-07-29T22:06:10Z,3.056515,52.669935,1.586654,0.824474,-73.614953,45.556915
50.610468,2024-07-29T22:06:11Z,3.062294,51.078279,1.588448,0.824412,-73.614922,45.556932
50.621299,2024-07-29T22:06:12Z,3.033476,49.119077,1.595261,0.824363,-73.614892,45.556950
50.647503,2024-07-29T22:06:13Z,3.153567,49.230803,1.601138,0.824373,-73.614862,45.556968
50.691158,2024-07-29T22:06:14Z,3.089932,49.770155,1.602582,0.824414,-73.614832,45.556986
50.744263,2024-07-29T22:06:15Z,3.075003,48.896496,1.597681,0.824481,-73.614802,45.557004
50.815790,2024-07-29T22:06:16Z,3.114223,48.702563,1.595223,0.824577,-73.614772,45.557023
50.870758,2024-07-29T22:06:17Z,3.125227,46.685613,1.598503,0.824715,-73.614742,45.557042
50.939617,2024-07-29T22:06:18Z,3.174543,46.216690,1.605972,0.824882,-73.614713,45.557061
51.006126,2024-07-29T22:06:19Z,3.091381,47.493401,1.603079,0.825067,-73.614684,45.557080
51.077495,2024-07-29T22:06:20Z,3.074952,49.289586,1.593986,0.825264,-73.614654,45.557099
51.147108,2024-07-29T22:06:21Z,3.020961,51.396581,1.585976,0.825462,-73.614624,45.557116
51.234945,2024-07-29T22:06:22Z,3.019627,50.842906,1.582175,0.825652,-73.614594,45.557133
51.305524,2024-07-29T22:06:23Z,3.003265,49.433415,1.583005,0.825824,-73.614564,45.557150
51.375186,2024-07-29T22:06:24Z,2.965788,49.536959,1.581637,0.825956,-73.614535,45.557168
51.432566,2024-07-29T22:06:25Z,3.008900,50.712968,1.578082,0.826046,-73.614505,45.557185
51.489064,2024-07-29T22:06:26Z,2.959506,51.513692,1.575713,0.826107,-73.614476,45.557202
51.525934,2024-07-29T22:06:27Z,3.089947,51.649244,1.578351,0.826123,-73.614445,45.557219
51.579990,2024-07-29T22:06:28Z,3.140470,53.550729,1.578318,0.826098,-73.614414,45.557236
51.616316,2024-07-29T22:06:29Z,3.139181,53.947130,1.580368,0.826030,-73.614381,45.557252
51.662330,2024-07-29T22:06:30Z,3.043824,55.330369,1.583764,0.825943,-73.614349,45.557269
51.698381,2024-07-29T22:06:31Z,2.938934,57.933201,1.585395,0.825846,-73.614317,45.557283
51.741239,2024-07-29T22:06:32Z,2.932066,59.786846,1.582584,0.825731,-73.614285,45.557297
51.777251,2024-07-29T22:06:33Z,2.881634,60.459244,1.582916,0.825592,-73.614252,45.557310
51.814116,2024-07-29T22:06:34Z,2.941276,58.136886,1.584073,0.825435,-73.614220,45.557323
51.836864,2024-07-29T22:06:35Z,2.951038,54.833791,1.585454,0.825267,-73.614189,45.557338
51.857140,2024-07-29T22:06:36Z,3.078882,53.844605,1.587490,0.825101,-73.614158,45.557354
51.863970,2024-07-29T22:06:37Z,3.080645,55.269645,1.586168,0.824933,-73.614125,45.557370
51.877837,2024-07-29T22:06:38Z,3.083284,56.330417,1.583263,0.824757,-73.614093,45.557386
51.884650,2024-07-29T22:06:39Z,3.062022,56.575534,1.582331,0.824591,-73.614060,45.557401
51.885600,2024-07-29T22:06:40Z,3.092839,54.223968,1.587100,0.824431,-73.614027,45.557417
51.872576,2024-07-29T22:06:41Z,3.118007,54.123402,1.588380,0.824272,-73.613995,45.557433
51.853136,2024-07-29T22:06:42Z,3.046954,54.903849,1.590128,0.824146,-73.613963,45.557449
51.845943,2024-07-29T22:06:43Z,3.039524,57.584132,1.588348,0.824041,-73.613931,45.557465
51.845381,2024-07-29T22:06:44Z,2.988014,60.677400,1.590774,0.823947,-73.613897,45.557479
51.855839,2024-07-29T22:06:45Z,3.041565,60.516066,1.593596,0.823871,-73.613864,45.557492
51.860258,2024-07-29T22:06:46Z,3.009054,60.145432,1.594350,0.823834,-73.613830,45.557505
51.869289,2024-07-29T22:06:47Z,3.091379,61.702012,1.592660,0.823829,-73.613796,45.557519
51.874342,2024-07-29T22:06:48Z,3.028913,59.756695,1.594679,0.823860,-73.613761,45.557532
51.891549,2024-07-29T22:06:49Z,3.038475,55.580928,1.595079,0.823928,-73.613729,45.557547
51.892768,2024-07-29T22:06:50Z,3.096283,53.130673,1.593963,0.824027,-73.613697,45.557563
51.901702,2024-07-29T22:06:51Z,3.141883,49.781614,1.593468,0.824145,-73.613665,45.557580
51.919631,2024-07-29T22:06:52Z,3.258046,50.988856,1.594557,0.824293,-73.613634,45.557599
51.933109,2024-07-29T22:06:53Z,3.151302,55.725930,1.595566,0.824444,-73.613601,45.557616
51.939489,2024-07-29T22:06:54Z,3.182802,58.685170,1.592824,0.824586,-73.613567,45.557631
51.949863,2024-07-29T22:06:55Z,3.137127,60.238298,1.592387,0.824717,-73.613532,45.557645
51.943365,2024-07-29T22:06:56Z,3.168666,61.259477,1.591897,0.824831,-73.613496,45.557659
51.930095,2024-07-29T22:06:57Z,3.139318,60.385513,1.592304,0.824949,-73.613461,45.557673
51.908383,2024-07-29T22:06:58Z,3.142049,59.508785,1.592882,0.825063,-73.613426,45.557687
51.874739,2024-07-29T22:06:59Z,3.132106,59.433257,1.593204,0.825167,-73.613392,45.557702
51.821731,2024-07-29T22:07:00Z,3.042251,59.194312,1.590445,0.825259,-73.613358,45.557716
51.783689,2024-07-29T22:07:01Z,2.978744,59.283578,1.590392,0.825331,-73.613325,45.557730
51.730026,2024-07-29T22:07:02Z,2.874111,60.310537,1.593961,0.825381,-73.613292,45.557743
51.677602,2024-07-29T22:07:03Z,2.990661,61.930437,1.591932,0.825417,-73.613260,45.557756
51.622422,2024-07-29T22:07:04Z,2.982813,63.358850,1.589113,0.825432,-73.613226,45.557768
51.587021,2024-07-29T22:07:05Z,3.018873,64.812335,1.588747,0.825435,-73.613191,45.557780
51.546696,2024-07-29T22:07:06Z,2.959716,61.201829,1.589044,0.825411,-73.613157,45.557792
51.505170,2024-07-29T22:07:07Z,2.971974,55.316811,1.593806,0.825367,-73.613125,45.557806
51.464053,2024-07-29T22:07:08Z,3.019064,54.064047,1.593325,0.825288,-73.613094,45.557822
51.450374,2024-07-29T22:07:09Z,2.993813,55.888549,1.591517,0.825189,-73.613062,45.557837
51.431582,2024-07-29T22:07:10Z,3.012193,56.277549,1.592371,0.825067,-73.613030,45.557852
51.407273,2024-07-29T22:07:11Z,2.992169,55.221197,1.595180,0.824963,-73.612998,45.557868
51.407375,2024-07-29T22:07:12Z,3.075078,56.328878,1.595289,0.824845,-73.612966,45.557883
51.410087,2024-07-29T22:07:13Z,3.019975,55.781779,1.596970,0.824727,-73.612934,45.557898
51.433126,2024-07-29T22:07:14Z,3.066349,54.434995,1.600137,0.824619,-73.612902,45.557914
51.467779,2024-07-29T22:07:15Z,3.038560,54.681341,1.599620,0.824520,-73.612870,45.557930
51.505583,2024-07-29T22:07:16Z,3.096847,55.327887,1.599837,0.824431,-73.612838,45.557946
51.532523,2024-07-29T22:07:17Z,3.075477,56.248150,1.600670,0.824351,-73.612806,45.557961
51.550165,2024-07-29T22:07:18Z,3.086857,57.542743,1.602604,0.824291,-73.612773,45.557976
51.566052,2024-07-29T22:07:19Z,3.074749,57.466918,1.601784,0.824235,-73.612740,45.557991
51.571292,2024-07-29T22:07:20Z,3.071889,57.590416,1.601255,0.824180,-73.612707,45.558006
51.562518,2024-07-29T22:07:21Z,3.069788,57.380709,1.600172,0.824107,-73.612674,45.558021
51.554481,2024-07-29T22:07:22Z,2.961046,55.590820,1.598446,0.824019,-73.612642,45.558035
51.532325,2024-07-29T22:07:23Z,2.896557,53.926606,1.599700,0.823911,-73.612611,45.558051
51.513338,2024-07-29T22:07:24Z,2.665994,52.587706,1.602650,0.823766,-73.612583,45.558065
51.490233,2024-07-29T22:07:25Z,2.574426,54.408346,1.602308,0.823604,-73.612556,45.558079
51.443234,2024-07-29T22:07:26Z,2.419194,58.121373,1.604621,0.823424,-73.612529,45.558092
51.393444,2024-07-29T22:07:27Z,2.191530,60.141981,1.610536,0.823230,-73.612504,45.558102
51.346998,2024-07-29T22:07:28Z,1.853079,65.539051,1.615972,0.823050,-73.612481,45.558111
51.315686,2024-07-29T22:07:29Z,1.324338,72.725477,1.619025,0.822883,-73.612462,45.558116
51.285523,2024-07-29T22:07:30Z,0.767288,79.719562,1.632570,0.822732,-73.612450,45.558118
51.259712,2024-07-29T22:07:31Z,0.623937,105.084864,1.648068,0.822585,-73.612441,45.558118
51.233653,2024-07-29T22:07:32Z,1.057821,106.220679,1.639343,0.822478,-73.612431,45.558116
51.215471,2024-07-29T22:07:33Z,1.402099,102.151792,1.640226,0.822407,-73.612416,45.558113
51.202694,2024-07-29T22:07:34Z,1.524727,102.905421,1.650081,0.822364,-73.612398,45.558110
51.197487,2024-07-29T22:07:35Z,1.408682,109.907213,1.653689,0.822382,-73.612380,45.558106
51.193506,2024-07-29T22:07:36Z,1.091047,120.726319,1.654483,0.822418,-73.612365,45.558102
51.196175,2024-07-29T22:07:37Z,0.710782,138.010818,1.659633,0.822439,-73.612356,45.558097
51.204380,2024-07-29T22:07:38Z,0.373487,204.463389,1.670729,0.822464,-73.612354,45.558093
51.216371,2024-07-29T22:07:39Z,0.606695,267.743423,1.681477,0.822479,-73.612359,45.558091
51.230789,2024-07-29T22:07:40Z,0.904908,273.654505,1.673086,0.822484,-73.612369,45.558091
